epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.0728,1.54276,0.54,1,1.27857,0.00035552,0.00035552,0.00035552
2,21.932,1.20089,0.66,1,0.93679,0.000677947,0.000677947,0.000677947
3,32.6374,0.91415,0.65,1,0.8226,0.00095149,0.00095149,0.00095149
4,45.5181,0.75388,0.67,1,0.95128,0.000891022,0.000891022,0.000891022
5,90.1511,0.64852,0.66,1,0.96705,0.000817696,0.000817696,0.000817696
6,107.104,0.47079,0.68,1,0.83586,0.00074437,0.00074437,0.00074437
7,124.622,0.38935,0.69,1,0.79748,0.000671044,0.000671044,0.000671044
8,141.055,0.39042,0.71,1,0.83271,0.000597718,0.000597718,0.000597718
9,155.751,0.30245,0.7,1,1.21653,0.000524392,0.000524392,0.000524392
10,164.674,0.29145,0.7,1,0.76102,0.000451066,0.000451066,0.000451066
11,173.716,0.2811,0.7,1,0.75974,0.00037774,0.00037774,0.00037774
12,181.309,0.24868,0.69,1,0.85166,0.000304414,0.000304414,0.000304414
13,192.915,0.21681,0.69,1,0.92901,0.000231088,0.000231088,0.000231088
14,209.658,0.20682,0.72,1,0.94019,0.000157762,0.000157762,0.000157762
15,226.736,0.22791,0.72,1,1.01293,8.4436e-05,8.4436e-05,8.4436e-05
